restaurant_id,restaurant_name,category,location
1,Spice Junction,Fine Dining,Delhi
2,Urban Tadka,Fast Food,Chennai
3,Bombay Bites,Fast Food,Ahmedabad
4,Taste of Chennai,Cafe,Pune
5,Café Aroma,Casual Dining,Ahmedabad
6,Royal Feast,Bakery,Kolkata
7,Delhi Zaika,Fine Dining,Pune
8,The Bread Basket,Fast Food,Kolkata
9,Bengal Biryani House,Casual Dining,Bengaluru
10,Punjab Grill,Fine Dining,Mumbai
11,The Curry Leaf,Bakery,Pune
12,Coastal Spice,Casual Dining,Chennai
13,Tandoor Tales,Fast Food,Kolkata
14,The Hungry Panda,Casual Dining,Delhi
15,Café Latte,Casual Dining,Hyderabad
16,Desi Adda,Fast Food,Kolkata
17,The Food Lounge,Casual Dining,Hyderabad
18,Bake My Day,Fast Food,Pune
19,Street Eats,Bakery,Bengaluru
20,Masala Magic,Cafe,Delhi
21,The Food Court,Bakery,Mumbai
22,Fusion Flavors,Fast Food,Ahmedabad
23,The Urban Café,Fast Food,Chennai
24,Kitchen Stories,Cafe,Bengaluru
25,Dosa Plaza,Fast Food,Chennai
26,Nukkad Café,Cafe,Hyderabad
27,Zaika Nation,Fast Food,Mumbai
28,Crispy Corner,Fast Food,Pune
29,The Good Bowl,Casual Dining,Delhi
30,Biryani House,Bakery,Bengaluru
31,Momo Hub,Fast Food,Delhi
32,The Cake Studio,Bakery,Kolkata
33,Tandoori Treats,Fast Food,Ahmedabad
34,Burger Bliss,Fine Dining,Mumbai
35,Café 24x7,Fast Food,Kolkata
36,The Food Station,Fast Food,Pune
37,Bakers Delight,Fine Dining,Chennai
38,Taste Buds,Fast Food,Bengaluru
39,Foodie’s Paradise,Fine Dining,Chennai
40,Veggie Vibes,Fine Dining,Kolkata
